Primary_Record,DESIGN: Observer/Arena Type,DESIGN: Treatment,Run,Study date,Site,Arena,Observer,Treatment,BrChrAd 1,BrChrAd 2,BrChrAd 3,BrChrAd 4,BrChrAd 5,BrChrAd 6,BrChrJu 1,BrChrJu 2,BrChrJu 3,BrChrJu 4,BrChrJu 5,BrChrJu 6,BlChr 1,BlChr 2,BlChr 3,BlChr 4,BlChr 5,BlChr 6,Boga 1,Boga 2,Boga 3,Boga 4,Boga 5,Boga 6,FourBu 1,FourBu 2,FourBu 3,FourBu 4,FourBu 5,FourBu 6,BandBu 1,BandBu 2,BandBu 3,BandBu 4,BandBu 5,BandBu 6,OcSurg 1,OcSurg 2,OcSurg 3,OcSurg 4,OcSurg 5,OcSurg 6,BlTang 1,BlTang 2,BlTang 3,BlTang 4,BlTang 5,BlTang 6,SharpPuf 1,SharpPuf 2,SharpPuf 3,SharpPuf 4,SharpPuf 5,SharpPuf 6,StopPar 1,StopPar 2,StopPar 3,StopPar 4,StopPar 5,StopPar 6,PrinPar 1,PrinPar 2,PrinPar 3,PrinPar 4,PrinPar 5,PrinPar 6,StriPar 1,StriPar 2,StriPar 3,StriPar 4,StriPar 5,StriPar 6,RedBPar 1,RedBPar 2,RedBPar 3,RedBPar 4,RedBPar 5,RedBPar 6,RedFTPar 1,RedFTPar 2,RedFTPar 3,RedFTPar 4,RedFTPar 5,RedFTPar 6,YelHWra 1,YelHWra 2,YelHWra 3,YelHWra 4,YelHWra 5,YelHWra 6,BluHWra 1,BluHWra 2,BluHWra 3,BluHWra 4,BluHWra 5,BluHWra 6,CreWra 1,CreWra 2,CreWra 3,CreWra 4,CreWra 5,CreWra 6,ClowWra 1,ClowWra 2,ClowWra 3,ClowWra 4,ClowWra 5,ClowWra 6,FrenGrun 1,FrenGrun 2,FrenGrun 3,FrenGrun 4,FrenGrun 5,FrenGrun 6,YelTSnap 1,YelTSnap 2,YelTSnap 3,YelTSnap 4,YelTSnap 5,YelTSnap 6,MahoSnap 1,MahoSnap 2,MahoSnap 3,MahoSnap 4,MahoSnap 5,MahoSnap 6,School 1,School 2,School 3,School 4,School 5,School 6,YelGoat 1,YelGoat 2,YelGoat 3,YelGoat 4,YelGoat 5,YelGoat 6,Clupeid 1,Clupeid 2,Clupeid 3,Clupeid 4,Clupeid 5,Clupeid 6,SpotDrum 1,SpotDrum 2,SpotDrum 3,SpotDrum 4,SpotDrum 5,SpotDrum 6,BarJack 1,BarJack 2,BarJack 3,BarJack 4,BarJack 5,BarJack 6,Trumpet 1,Trumpet 2,Trumpet 3,Trumpet 4,Trumpet 5,Trumpet 6,HComCow 1,HComCow 2,HComCow 3,HComCow 4,HComCow 5,HComCow 6,YelMGroup 1,YelMGroup 2,YelMGroup 3,YelMGroup 4,YelMGroup 5,YelMGroup 6,OrSpFile 1,OrSpFile 2,OrSpFile 3,OrSpFile 4,OrSpFile 5,OrSpFile 6
11,3,3,4,01-Jul-11,2,1,Dick,Bet,20,20,60,80,0,0,0,300,0,0,150,200,10,10,50,30,10,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,1,3,4,01-Jul-11,2,2,Pedro,Bet,5,1,25,21,12,4,500,500,200,500,500,500,0,0,8,5,4,2,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,2,0,3,0,0,1,1,2,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,2,2,4,2,1,1,2,2,2,1,0,0,0,0,0,0,1,1,0,0,1,2,4,1,1,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,2,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,3,5,02-Jul-11,1,1,Aaron,Bet,450,34,250,250,450,125,9999,9999,9999,9999,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,3,2,1,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,6,0,0,4,4,9,0,4,5,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,1,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
14,3,3,5,02-Jul-11,1,3,Dick,Bet,30,30,100,120,120,50,120,30,150,120,100,100,20,30,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,3,5,02-Jul-11,1,2,Pedro,Bet,84,7,130,170,170,360,0,0,0,0,0,0,20,32,41,68,30,76,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,2,3,1,2,1,2,0,0,0,0,0,0,1,0,0,1,2,2,0,1,0,0,1,0,1,2,3,1,0,0,1,2,2,3,2,2,0,0,0,0,0,0,3,0,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,2,1,0,2,2,1,1,0,0,1,0,0,5,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,2,6,02-Jul-11,2,1,Aaron,DMSP,200,450,250,100,150,300,0,0,500,500,500,500,18,17,64,52,35,27,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,1,6,1,3,4,4,1,2,1,0,0,0,0,1,1,0,1,0,3,3,4,2,2,2,2,0,10,10,11,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,2,6,02-Jul-11,2,3,Dick,DMSP,8,30,300,100,80,0,300,100,300,300,300,100,12,30,30,3,8,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,2,6,02-Jul-11,2,2,Pedro,DMSP,34,14,12,34,70,56,0,90,100,60,80,100,4,5,2,2,5,5,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,1,2,0,1,0,0,0,0,3,3,11,5,5,6,1,0,0,2,0,1,0,0,0,0,0,0,3,3,2,2,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,1,7,07-Jul-11,1,1,Aaron,Contr,4,0,0,0,6,0,1000,500,1000,500,1000,1000,0,0,3,3,8,0,0,0,0,0,0,18,2,0,0,0,2,0,2,0,0,0,0,1,1,3,0,3,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,1,1,1,2,3,6,4,5,8,4,0,0,0,14,0,0,1,1,0,0,2,1,2,1,0,1,1,2,1,2,3,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,2,0,2,42,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,1,0,0
20,3,1,7,07-Jul-11,1,3,Dick,Contr,50,50,20,20,50,90,300,300,300,20,100,100,5,0,0,0,0,0,0,0,5,30,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
