Primary_Record,DESIGN: Observer/Arena Type,DESIGN: Treatment,Run,Study date,Site,Arena,Observer,Treatment,BrChrAd 1,BrChrAd 2,BrChrAd 3,BrChrAd 4,BrChrAd 5,BrChrAd 6,BrChrJu 1,BrChrJu 2,BrChrJu 3,BrChrJu 4,BrChrJu 5,BrChrJu 6,BlChr 1,BlChr 2,BlChr 3,BlChr 4,BlChr 5,BlChr 6,Boga 1,Boga 2,Boga 3,Boga 4,Boga 5,Boga 6,FourBu 1,FourBu 2,FourBu 3,FourBu 4,FourBu 5,FourBu 6,BandBu 1,BandBu 2,BandBu 3,BandBu 4,BandBu 5,BandBu 6,OcSurg 1,OcSurg 2,OcSurg 3,OcSurg 4,OcSurg 5,OcSurg 6,BlTang 1,BlTang 2,BlTang 3,BlTang 4,BlTang 5,BlTang 6,SharpPuf 1,SharpPuf 2,SharpPuf 3,SharpPuf 4,SharpPuf 5,SharpPuf 6,StopPar 1,StopPar 2,StopPar 3,StopPar 4,StopPar 5,StopPar 6,PrinPar 1,PrinPar 2,PrinPar 3,PrinPar 4,PrinPar 5,PrinPar 6,StriPar 1,StriPar 2,StriPar 3,StriPar 4,StriPar 5,StriPar 6,RedBPar 1,RedBPar 2,RedBPar 3,RedBPar 4,RedBPar 5,RedBPar 6,RedFTPar 1,RedFTPar 2,RedFTPar 3,RedFTPar 4,RedFTPar 5,RedFTPar 6,YelHWra 1,YelHWra 2,YelHWra 3,YelHWra 4,YelHWra 5,YelHWra 6,BluHWra 1,BluHWra 2,BluHWra 3,BluHWra 4,BluHWra 5,BluHWra 6,CreWra 1,CreWra 2,CreWra 3,CreWra 4,CreWra 5,CreWra 6,ClowWra 1,ClowWra 2,ClowWra 3,ClowWra 4,ClowWra 5,ClowWra 6,FrenGrun 1,FrenGrun 2,FrenGrun 3,FrenGrun 4,FrenGrun 5,FrenGrun 6,YelTSnap 1,YelTSnap 2,YelTSnap 3,YelTSnap 4,YelTSnap 5,YelTSnap 6,MahoSnap 1,MahoSnap 2,MahoSnap 3,MahoSnap 4,MahoSnap 5,MahoSnap 6,School 1,School 2,School 3,School 4,School 5,School 6,YelGoat 1,YelGoat 2,YelGoat 3,YelGoat 4,YelGoat 5,YelGoat 6,Clupeid 1,Clupeid 2,Clupeid 3,Clupeid 4,Clupeid 5,Clupeid 6,SpotDrum 1,SpotDrum 2,SpotDrum 3,SpotDrum 4,SpotDrum 5,SpotDrum 6,BarJack 1,BarJack 2,BarJack 3,BarJack 4,BarJack 5,BarJack 6,Trumpet 1,Trumpet 2,Trumpet 3,Trumpet 4,Trumpet 5,Trumpet 6,HComCow 1,HComCow 2,HComCow 3,HComCow 4,HComCow 5,HComCow 6,YelMGroup 1,YelMGroup 2,YelMGroup 3,YelMGroup 4,YelMGroup 5,YelMGroup 6,OrSpFile 1,OrSpFile 2,OrSpFile 3,OrSpFile 4,OrSpFile 5,OrSpFile 6
21,1,1,7,07-Jul-11,1,2,Pedro,Contr,1,16,0,0,60,0,60,150,330,250,80,170,31,23,23,25,34,28,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,1,2,0,1,1,1,1,1,3,2,0,2,0,2,1,0,1,0,1,0,2,2,3,3,0,1,3,1,2,0,1,0,1,1,0,1,1,2,1,1,2,0,0,0,0,0,0,0,0,2,3,2,2,1,0,1,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,3,11,6,7,7,5,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,1,8,07-Jul-11,2,3,Aaron,Contr,0,0,3,4,20,0,1000,1000,1000,1000,1000,1000,12,20,32,57,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,2,0,0,0,0,1,1,0,2,1,2,1,0,0,1,1,2,0,0,1,0,1,0,0,2,1,0,0,2,0,0,0,0,0,0,2,4,4,2,1,3,0,1,1,0,0,3,1,1,1,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,24,0,0,0,0,15,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,3,1,8,07-Jul-11,2,1,Dick,Contr,0,2,10,10,0,0,200,225,300,60,300,300,0,2,4,10,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,1,1,8,07-Jul-11,2,2,Pedro,Contr,2,0,15,0,0,0,750,500,375,500,500,500,22,29,20,18,17,26,0,0,0,0,0,0,1,1,1,2,0,2,0,2,0,1,2,0,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,1,1,1,0,0,1,0,5,11,4,4,3,2,1,1,0,1,1,1,0,1,0,0,0,0,2,3,3,3,1,1,2,0,2,3,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,3,9,08-Jul-11,1,1,Aaron,Bet,55,90,4,18,78,39,500,500,0,500,500,500,0,0,6,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,1,1,1,1,1,2,2,1,0,1,0,0,1,0,1,0,1,2,3,1,2,1,1,2,2,2,3,2,2,4,3,4,0,0,1,0,1,1,0,1,0,1,4,1,1,1,3,3,2,3,3,10,9,8,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1
26,3,3,9,08-Jul-11,1,3,Dick,Bet,50,40,2,15,30,100,300,300,300,300,225,50,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,3,9,08-Jul-11,1,2,Pedro,Bet,36,56,46,0,1,2,400,300,180,500,500,150,19,31,28,42,38,33,0,0,0,0,0,0,2,2,1,2,0,1,0,0,0,0,0,0,1,1,1,1,0,1,2,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,4,3,3,1,2,0,1,1,0,1,2,1,3,2,1,2,0,1,1,2,1,0,0,0,0,0,2,0,1,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,2,2,1,1,12,10,18,0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
28,2,2,10,08-Jul-11,2,1,Aaron,DMSP,750,750,750,90,200,100,500,500,500,500,500,500,24,20,16,45,18,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,3,2,4,3,1,3,2,4,0,2,16,3,1,1,1,2,0,1,1,1,1,1,1,8,5,5,2,3,3,1,14,12,13,11,14,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,2,10,08-Jul-11,2,3,Dick,DMSP,80,110,30,80,100,0,1000,1000,1000,1000,1000,0,30,20,12,40,12,5,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2,3,4,2,3,1,2,1,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,2,10,08-Jul-11,2,2,Pedro,DMSP,25,160,27,18,229,36,100,0,0,0,0,0,1,5,1,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,2,1,2,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,2,4,4,5,3,5,1,2,3,1,1,2,0,1,0,0,0,0,2,3,2,3,3,0,4,4,0,1,0,0,1,0,1,0,0,0,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
31,2,2,11,09-Jul-11,1,1,Aaron,DMSP,37,150,250,120,250,100,500,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,3,2,0,0,1,2,2,2,1,2,2,2,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,2,2,4,2,3,0,2,0,0,0,0,0,0,1,1,1,2,0,1,0,0,1,0,2,0,1,1,3,1,7,12,8,12,6,9,12,18,14,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,2,0,1,0,1,1,0,0,1,0,1,0,0,2,0,2,0,2,0,1,1,0,1,1,0
32,3,2,11,09-Jul-11,1,3,Dick,DMSP,0,0,1,90,100,20,1000,1000,1000,100,1000,1000,30,30,54,0,30,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,2,11,09-Jul-11,1,2,Pedro,DMSP,12,32,49,80,120,76,60,130,110,60,150,130,38,38,37,23,15,28,0,0,0,0,0,0,2,0,1,0,3,0,0,0,1,4,1,0,0,0,0,0,0,2,2,3,1,2,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,2,1,2,1,0,1,0,0,1,2,2,1,1,1,0,0,0,1,0,0,1,4,3,2,1,2,1,0,1,0,0,1,7,22,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0
34,2,3,12,09-Jul-11,2,1,Aaron,Bet,50,15,4,120,60,250,500,500,500,500,500,1000,22,6,5,6,3,10,0,0,0,0,0,0,4,1,4,2,0,0,0,0,0,2,0,0,0,0,1,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,1,0,1,2,4,1,0,2,0,1,2,0,7,7,3,1,0,2,1,1,1,1,1,1,1,1,1,1,3,3,2,1,3,12,9,11,15,12,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,3,12,09-Jul-11,2,3,Dick,Bet,10,0,1,0,20,130,1000,1000,1000,1000,1000,1000,10,6,5,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,2,1,2,4,1,1,3,2,1,2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,3,12,09-Jul-11,2,2,Pedro,Bet,6,0,0,10,85,1,7,0,25,100,170,40,1,0,2,15,2,1,0,0,0,0,0,0,1,1,4,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,0,2,0,0,0,3,0,1,0,2,1,0,0,0,1,4,0,2,5,4,5,4,2,1,2,2,1,3,0,0,0,0,0,0,1,3,3,5,0,1,3,3,0,0,0,0,0,0,0,0,11,0,0,1,3,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2,3,13,10-Jul-11,1,1,Aaron,Bet,5,18,0,8,10,2,500,500,500,500,500,500,3,2,6,5,6,8,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,1,0,2,1,2,1,0,1,1,2,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,1,2,1,2,4,3,0,0,1,0,0,1,0,0,2,1,1,0,1,0,0,2,3,5,3,2,2,6,3,7,5,4,9,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
38,3,3,13,10-Jul-11,1,3,Dick,Bet,4,80,100,0,4,0,200,1000,1000,1000,100,1000,0,0,0,0,0,0,0,0,0,0,0,30,0,1,0,2,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,3,13,10-Jul-11,1,2,Pedro,Bet,0,8,0,0,60,0,130,80,250,700,250,210,45,20,19,37,26,30,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,1,2,1,0,2,2,3,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,2,1,1,1,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,2,0,2,5,3,2,3,4,3,2,0,8,10,20,50,30,50,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,13,6,2,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,2,14,10-Jul-11,2,1,Aaron,DMSP,100,150,100,45,0,75,500,500,500,500,1000,500,15,18,5,3,10,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,3,0,5,1,1,0,0,5,3,1,2,0,3,4,0,2,1,2,2,0,0,1,1,1,1,1,2,2,3,4,1,6,12,1,18,22,17,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3,2,14,10-Jul-11,2,3,Dick,DMSP,15,15,60,120,60,80,80,300,1000,1000,1000,1000,15,10,4,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,1,1,0,0,1,2,1,2,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,2,14,10-Jul-11,2,2,Pedro,DMSP,4,20,50,61,90,0,30,0,20,100,110,130,6,13,30,2,15,22,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,2,1,2,0,1,3,1,2,1,2,7,1,2,1,1,1,1,0,0,0,0,0,0,2,3,1,2,2,5,1,1,0,1,0,4,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1
43,2,1,15,11-Jul-11,1,1,Aaron,Contr,200,20,0,250,200,250,500,500,1000,1000,1000,1000,0,12,0,0,0,0,0,0,0,0,0,42,0,0,2,2,0,1,0,0,0,0,0,0,1,0,1,3,0,0,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,2,1,1,4,3,4,5,4,5,0,0,0,0,0,0,2,1,3,0,1,1,0,0,1,0,1,0,1,6,5,3,4,2,10,0,0,3,4,4,8,0,800,0,0,0,2,2,1,1,2,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,2,2,0,0,1,0,0,1
44,3,1,15,11-Jul-11,1,3,Dick,Contr,120,50,0,100,50,20,20,1000,20,300,1000,1000,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,2,2,1,0,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1,1,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,1,15,11-Jul-11,1,2,Pedro,Contr,200,8,0,250,180,14,100,250,150,200,700,150,0,26,14,3,21,24,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,1,2,2,0,1,1,2,0,0,1,0,1,0,2,1,0,2,2,2,2,1,0,0,0,1,0,0,0,1,0,0,1,1,0,3,0,1,0,0,1,0,0,0,2,0,2,3,5,3,0,1,0,2,2,1,1,0,150,2,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,2,3,16,11-Jul-11,2,1,Aaron,Bet,60,150,100,125,250,200,500,500,500,500,500,500,8,6,12,5,4,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,17,2,3,2,1,3,0,4,2,2,1,1,0,2,2,1,1,0,1,1,1,1,0,1,2,5,6,6,6,9,10,8,6,4,6,10,2,1,2,10,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3,3,16,11-Jul-11,2,3,Dick,Bet,50,0,70,0,10,300,150,1000,100,1000,1000,1000,8,0,1,5,8,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,2,1,2,2,3,1,2,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,3,16,11-Jul-11,2,2,Pedro,Bet,96,26,32,10,150,190,60,190,90,180,250,200,8,15,14,12,33,19,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,4,3,3,3,3,4,2,1,1,2,1,1,2,1,2,3,0,0,0,0,0,0,1,4,3,2,3,2,4,3,0,3,4,2,0,0,5,20,0,0,2,1,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,2,2,17,12-Jul-11,1,1,Aaron,DMSP,0,5,15,30,0,0,500,500,1000,1000,500,1000,8,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,1,1,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,2,2,3,0,0,2,0,2,1,2,3,2,1,1,1,0,0,0,3,4,2,5,4,5,11,10,8,9,4,8,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,2,0,2,0,0,2,0,1,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,1,0,0,0,0,2,2,2,2,0,0,1,1,0,0
50,3,2,17,12-Jul-11,1,3,Dick,DMSP,60,0,10,2,0,0,1000,50,100,100,1000,100,0,6,12,8,30,30,2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,1,1,2,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,2,17,12-Jul-11,1,2,Pedro,DMSP,9,28,0,0,0,0,140,150,200,60,95,130,22,11,34,30,16,15,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,2,2,2,1,4,1,0,0,0,1,0,1,2,1,1,2,1,2,2,0,1,2,0,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,3,4,3,1,2,1,2,0,1,0,0,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,2,1,18,12-Jul-11,2,1,Aaron,Contr,140,0,45,6,0,250,500,500,500,500,500,500,14,6,6,15,18,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,2,0,2,2,0,0,82,0,0,1,0,1,0,0,0,0,0,2,0,2,1,3,1,0,3,2,2,2,5,2,1,3,1,4,9,2,1,1,3,1,0,1,1,1,1,1,1,4,3,3,3,2,3,10,6,16,13,8,20,0,0,1,2,0,2,2,1,0,1,1,0,1,1,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,2,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
